Название мелодии  - Описание


overworld         - Музыка аркады, Шум в Backrooms

theme             - Музыка в титрах

Hive:
river             - Река
factory           - Фабрика
backyard          - Задний двор
boss phase 1      - Босс - стадия 1
boss phase 2      - Босс - стадия 2
boss phase 3 - 1  - Босс - стадия 3.1
boss phase 3 - 2  - Босс - стадия 3.2
boss outro        - Босс - конец
boss waiting 1    - Босс - ожидание 1
boss waiting 2    - Босс - ожидание 2
boss attack 1     - Босс - атака 1
boss attack 2     - Босс - атака 2
birds ambiance    - Босс - окружение

hub               - Музыка центра
noise             - Шум центра

scene 1           - Сцена 1 во вступлении
scene 2           - Сцена 2 во вступлении
scene 3           - Сцена 3 во вступлении
scene 4           - Сцена 4 во вступлении

turtletown        - Музыка Черепашего города
boss              - Музыка босса черепашего города

snow valley       - Музыка снежной долины
boss              - Музыка босса снежной долины

desert            - Музыка Бимотепской пустыни
underground       - Подземная музыка Бимотепской пустыни
boss              - Музыка босса Бимотепской пустыни

house             - Музыка гигантского дома
8bit              - 8-битная музыка гигантского дома
sewers            - Музыка канализаций гигантского дома
boss              - Музыка босса гигантского дома

intro             - Музыка в главном меню

imabear           - Музыка очков IMABEAR
